Job Category:,Number of Positions:,Job Location:,Staffing Area:,School Name:,Principal Network:,url_link,Work Type:,Job Reference Number:,Contact:,Total Remuneration Package:,FTE:,Closing Date:,Organisation/Entity:,job_title
Projects | Project Manager,1,Sydney Region,,,,https://iworkfor.nsw.gov.au/job/project-manager-vulnerable-children-and-young-people-110211,Full-Time,REQ39263,,"$121,246.00 - $145,063.00",,23/05/2018 - 11:59 PM,Agency for Clinical Innovation,"Project Manager, Vulnerable Children and Young People"
Human Resources and Recruitment | Occupational Health and Safety,1,Location Negotiable,,,,https://iworkfor.nsw.gov.au/job/whs-audit-investigation-business-partner-110206,Full-Time,REQ40032,,"$93,099.00 - $110,422.00",,20/05/2018 - 11:59 PM,HealthShare NSW,WHS Audit & Investigation Business Partner
Human Resources and Recruitment | Organisational Development,1,Sydney Region / Sydney - West,,,,https://iworkfor.nsw.gov.au/job/performance-analyst-110204,Full-Time,REQ41247,,"$108,255.00 - $123,411.00",,22/05/2018 - 11:59 PM,HealthShare NSW,Performance Analyst
Schools | TCH Other,1,Sydney Region,Blacktown,Rouse Hill High School,The Hills,https://iworkfor.nsw.gov.au/job/head-teacher-english-rouse-hill-high-school-110101,,000062ZM,02 9836 1890 - Kim Chapman,"Remuneration package valued at $127,944.00. This position attracts a base salary of $115,429.00, plus leave loading and employer's contribution to superannuation.",1.000,23/05/2018 - 04:00 PM,Teaching Service,Head Teacher English - Rouse Hill High School
Schools | TCH Other,1,Regional NSW,Wagga Wagga,Wagga Wagga High School,Wagga Wagga,https://iworkfor.nsw.gov.au/job/deputy-principal-secondary-wagga-wagga-high-school-110103,,0000635T,02 6925 3611 - Christopher Davies,"Remuneration package valued at $149,382.00. This position attracts a base salary of $134,771.00, plus leave loading and employer's contribution to superannuation.",1.000,23/05/2018 - 04:00 PM,Teaching Service,Deputy Principal Secondary - Wagga Wagga High School
Schools | TCH Other,1,Central & North Coasts - Newcastle & Hunter Valley,Maitland,Irrawang High School,Callaghan/Port Stephens,https://iworkfor.nsw.gov.au/job/head-teacher-technological-and-applied-studies-irrawang-high-school-110104,,00005YT0,02 4987 4687 - Paul Baxter,"Remuneration package valued at $127,944.00. This position attracts a base salary of $115,429.00, plus leave loading and employer's contribution to superannuation.",1.000,23/05/2018 - 04:00 PM,Teaching Service,Head Teacher Technological and Applied Studies - Irrawang High School
Schools | TCH Other,1,Central & North Coasts - Newcastle & Hunter Valley,Maitland,Thornton Public School,Maitland,https://iworkfor.nsw.gov.au/job/deputy-principal-primary-thornton-public-school-110106,,000062FR,02 4964 1369 - Stuart Wylie,"Remuneration package valued at $149,382.00. This position attracts a base salary of $134,771.00, plus leave loading and employer's contribution to superannuation.",1.000,23/05/2018 - 04:00 PM,Teaching Service,Deputy Principal Primary - Thornton Public School
Schools | Teachers,1,Sydney Region,Liverpool,James Meehan High School,Glenfield,https://iworkfor.nsw.gov.au/job/teacher-special-education-james-meehan-high-school-110107,,00006392,02 9605 4395 - Karen Attard,"Remuneration package valued at up to $118,332.00. Base salary ranges from $67,248.00 to $106,758.00, plus leave loading and employer's contribution to superannuation. Base salary rates above the minimum are available depending on experience.",1.000,23/05/2018 - 04:00 PM,Teaching Service,Teacher Special Education - James Meehan High School
Schools | TCH Other,1,Sydney Region,Sutherland,Gymea Technology High School,Port Hacking,https://iworkfor.nsw.gov.au/job/deputy-principal-secondary-gymea-technology-high-school-110108,,0000635S,02 9521 3244 - Peter Marsh,"Remuneration package valued at $149,382.00. This position attracts a base salary of $134,771.00, plus leave loading and employer's contribution to superannuation.",1.000,23/05/2018 - 04:00 PM,Teaching Service,Deputy Principal Secondary - Gymea Technology High School
Schools | TCH Other,1,Illawarra & South Coast,Batemans Bay,St Georges Basin Public School,South Coast,https://iworkfor.nsw.gov.au/job/assistant-principal-st-georges-basin-public-school-110111,,000065XO,02 4443 4251 - Kathy Rembisz,"Remuneration package valued at $127,944.00. This position attracts a base salary of $115,429.00, plus leave loading and employer's contribution to superannuation.",1.000,23/05/2018 - 04:00 PM,Teaching Service,Assistant Principal - St Georges Basin Public School
Schools | TCH Other,1,Regional NSW,Lismore,Tregeagle Public School,Richmond Valley,https://iworkfor.nsw.gov.au/job/assistant-principal-tregeagle-public-school-110112,,000061OO,02 6629 5220 - Rebecca Fletcher,"Remuneration package valued at $127,944.00. This position attracts a base salary of $115,429.00, plus leave loading and employer's contribution to superannuation.",1.000,23/05/2018 - 04:00 PM,Teaching Service,Assistant Principal - Tregeagle Public School
Schools | Teachers,1,Sydney Region,Liverpool,John Edmondson High School,Liverpool,https://iworkfor.nsw.gov.au/job/teacher-english-john-edmondson-high-school-110113,,000064VM,02 9825 9815 - Anne Violi,"Remuneration package valued at up to $118,332.00. Base salary ranges from $67,248.00 to $106,758.00, plus leave loading and employer's contribution to superannuation. Base salary rates above the minimum are available depending on experience.",1.000,23/05/2018 - 04:00 PM,Teaching Service,Teacher English - John Edmondson High School
Schools | TCH Other,1,Central & North Coasts - Newcastle & Hunter Valley,Maitland,Tomaree High School,Callaghan/Port Stephens,https://iworkfor.nsw.gov.au/job/head-teacher-secondary-studies-tomaree-high-school-110115,,00005ZAY,02 4981 1444 - Sue Xenos,"Remuneration package valued at $127,944.00. This position attracts a base salary of $115,429.00, plus leave loading and employer's contribution to superannuation.",1.000,23/05/2018 - 04:00 PM,Teaching Service,Head Teacher Secondary Studies - Tomaree High School
Schools | TCH Other,1,Sydney Region,Liverpool,Mount Pritchard Public School,Liverpool,https://iworkfor.nsw.gov.au/job/assistant-principal-mount-pritchard-public-school-110116,,000064M1,02 9823 9820 - Natalie Piccinin,"Remuneration package valued at $127,944.00. This position attracts a base salary of $115,429.00, plus leave loading and employer's contribution to superannuation.",1.000,23/05/2018 - 04:00 PM,Teaching Service,Assistant Principal - Mount Pritchard Public School
Schools | TCH Other,1,Illawarra & South Coast,Shellharbour,Mittagong Public School,Wollondilly,https://iworkfor.nsw.gov.au/job/assistant-principal-mittagong-public-school-110117,,000062KU,0448 214 215 - Garry Mansfield,"Remuneration package valued at $127,944.00. This position attracts a base salary of $115,429.00, plus leave loading and employer's contribution to superannuation.",1.000,23/05/2018 - 04:00 PM,Teaching Service,Assistant Principal - Mittagong Public School
